operationId,method,path,kind,detail,computable,abox_fact
cancelBatchOperation,POST,/batch-operations/{batchOperationKey}/cancellation,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
cancelBatchOperation,POST,/batch-operations/{batchOperationKey}/cancellation,business-entity-lifecycle,path has state-transition verb,no,lifecycle state machine for this entity
cancelBatchOperation,POST,/batch-operations/{batchOperationKey}/cancellation,prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
cancelBatchOperation,POST,/batch-operations/{batchOperationKey}/cancellation,documented-500,response code 500 documented in spec,yes,
resumeBatchOperation,POST,/batch-operations/{batchOperationKey}/resumption,happy-path,documented success response,yes,
resumeBatchOperation,POST,/batch-operations/{batchOperationKey}/resumption,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
resumeBatchOperation,POST,/batch-operations/{batchOperationKey}/resumption,404-not-found,"path param=batchOperationKey, type=string, format=BatchOperationKey | uuid",yes,
resumeBatchOperation,POST,/batch-operations/{batchOperationKey}/resumption,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
resumeBatchOperation,POST,/batch-operations/{batchOperationKey}/resumption,prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
resumeBatchOperation,POST,/batch-operations/{batchOperationKey}/resumption,documented-500,response code 500 documented in spec,yes,
resumeBatchOperation,POST,/batch-operations/{batchOperationKey}/resumption,documented-503,response code 503 documented in spec,yes,
suspendBatchOperation,POST,/batch-operations/{batchOperationKey}/suspension,happy-path,documented success response,yes,
suspendBatchOperation,POST,/batch-operations/{batchOperationKey}/suspension,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
suspendBatchOperation,POST,/batch-operations/{batchOperationKey}/suspension,404-not-found,"path param=batchOperationKey, type=string, format=BatchOperationKey | uuid",yes,
suspendBatchOperation,POST,/batch-operations/{batchOperationKey}/suspension,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
suspendBatchOperation,POST,/batch-operations/{batchOperationKey}/suspension,prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
suspendBatchOperation,POST,/batch-operations/{batchOperationKey}/suspension,documented-500,response code 500 documented in spec,yes,
suspendBatchOperation,POST,/batch-operations/{batchOperationKey}/suspension,documented-503,response code 503 documented in spec,yes,
pinClock,PUT,/clock,happy-path,documented success response,yes,
pinClock,PUT,/clock,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
pinClock,PUT,/clock,bad-request:missing-required,field=timestamp,yes,
pinClock,PUT,/clock,bad-request:additional-property,closed schema,yes,
pinClock,PUT,/clock,bad-request:format-invalid,"field=timestamp, format=int64",yes,
pinClock,PUT,/clock,bad-request:type-mismatch,"field=timestamp, type=integer",yes,
pinClock,PUT,/clock,403-forbidden,403 not documented; emitter needs to know if RBAC applies,no,RBAC: permissions required per endpoint
pinClock,PUT,/clock,business-entity-lifecycle,operationId prefix `pin` implies state transition,no,lifecycle state machine for this entity
pinClock,PUT,/clock,documented-500,response code 500 documented in spec,yes,
pinClock,PUT,/clock,documented-503,response code 503 documented in spec,yes,
resetClock,POST,/clock/reset,happy-path,documented success response,yes,
resetClock,POST,/clock/reset,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
resetClock,POST,/clock/reset,409-conflict,create-or-replace with same identifier,no,duplicatePolicy per endpoint (idempotent | conflict | replace)
resetClock,POST,/clock/reset,403-forbidden,403 not documented; emitter needs to know if RBAC applies,no,RBAC: permissions required per endpoint
resetClock,POST,/clock/reset,business-entity-lifecycle,operationId prefix `reset` implies state transition,no,lifecycle state machine for this entity
resetClock,POST,/clock/reset,documented-500,response code 500 documented in spec,yes,
resetClock,POST,/clock/reset,documented-503,response code 503 documented in spec,yes,
createGlobalClusterVariable,POST,/cluster-variables/global,happy-path,documented success response,yes,
createGlobalClusterVariable,POST,/cluster-variables/global,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
createGlobalClusterVariable,POST,/cluster-variables/global,bad-request:missing-required,field=name,yes,
createGlobalClusterVariable,POST,/cluster-variables/global,bad-request:missing-required,field=value,yes,
createGlobalClusterVariable,POST,/cluster-variables/global,bad-request:type-mismatch,"field=value, type=object",yes,
createGlobalClusterVariable,POST,/cluster-variables/global,409-conflict,create-or-replace with same identifier,no,duplicatePolicy per endpoint (idempotent | conflict | replace)
createGlobalClusterVariable,POST,/cluster-variables/global,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
createGlobalClusterVariable,POST,/cluster-variables/global,documented-500,response code 500 documented in spec,yes,
getGlobalClusterVariable,GET,/cluster-variables/global/{name},happy-path,documented success response,yes,
getGlobalClusterVariable,GET,/cluster-variables/global/{name},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
getGlobalClusterVariable,GET,/cluster-variables/global/{name},404-not-found,"path param=name, type=string, format=ClusterVariableName",yes,
getGlobalClusterVariable,GET,/cluster-variables/global/{name},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
getGlobalClusterVariable,GET,/cluster-variables/global/{name},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
getGlobalClusterVariable,GET,/cluster-variables/global/{name},documented-500,response code 500 documented in spec,yes,
updateGlobalClusterVariable,PUT,/cluster-variables/global/{name},happy-path,documented success response,yes,
updateGlobalClusterVariable,PUT,/cluster-variables/global/{name},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
updateGlobalClusterVariable,PUT,/cluster-variables/global/{name},404-not-found,"path param=name, type=string, format=ClusterVariableName",yes,
updateGlobalClusterVariable,PUT,/cluster-variables/global/{name},bad-request:missing-required,field=value,yes,
updateGlobalClusterVariable,PUT,/cluster-variables/global/{name},bad-request:type-mismatch,"field=value, type=object",yes,
updateGlobalClusterVariable,PUT,/cluster-variables/global/{name},409-conflict,create-or-replace with same identifier,no,duplicatePolicy per endpoint (idempotent | conflict | replace)
updateGlobalClusterVariable,PUT,/cluster-variables/global/{name},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
updateGlobalClusterVariable,PUT,/cluster-variables/global/{name},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
updateGlobalClusterVariable,PUT,/cluster-variables/global/{name},documented-500,response code 500 documented in spec,yes,
deleteGlobalClusterVariable,DELETE,/cluster-variables/global/{name},happy-path,documented success response,yes,
deleteGlobalClusterVariable,DELETE,/cluster-variables/global/{name},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
deleteGlobalClusterVariable,DELETE,/cluster-variables/global/{name},404-not-found,"path param=name, type=string, format=ClusterVariableName",yes,
deleteGlobalClusterVariable,DELETE,/cluster-variables/global/{name},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
deleteGlobalClusterVariable,DELETE,/cluster-variables/global/{name},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
deleteGlobalClusterVariable,DELETE,/cluster-variables/global/{name},documented-500,response code 500 documented in spec,yes,
searchClusterVariables,POST,/cluster-variables/search,happy-path,documented success response,yes,
searchClusterVariables,POST,/cluster-variables/search,401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
searchClusterVariables,POST,/cluster-variables/search,bad-request:additional-property,closed schema,yes,
searchClusterVariables,POST,/cluster-variables/search,bad-request:type-mismatch,"field=sort, type=array",yes,
searchClusterVariables,POST,/cluster-variables/search,pagination-sort:request-shape,sort array in body,yes,
searchClusterVariables,POST,/cluster-variables/search,pagination-sort:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchClusterVariables,POST,/cluster-variables/search,filter:request-shape,filter object in body,yes,
searchClusterVariables,POST,/cluster-variables/search,filter:behaviour-assertion,"asserting result correctness, not just status",no,filter-field-semantics + sort-field-allowlist per entity
searchClusterVariables,POST,/cluster-variables/search,403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
searchClusterVariables,POST,/cluster-variables/search,eventual-consistency,search may lag behind writes,no,consistency window per entity (or eventually-consistent flag)
searchClusterVariables,POST,/cluster-variables/search,scale-large-n,"behaviour at 10K+ entities; pagination limits, timeout, ordering stability",no,scale thresholds + expected response time per entity
searchClusterVariables,POST,/cluster-variables/search,documented-500,response code 500 documented in spec,yes,
createTenantClusterVariable,POST,/cluster-variables/tenants/{tenantId},happy-path,documented success response,yes,
createTenantClusterVariable,POST,/cluster-variables/tenants/{tenantId},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
createTenantClusterVariable,POST,/cluster-variables/tenants/{tenantId},404-not-found,"path param=tenantId, type=string, format=TenantId",yes,
createTenantClusterVariable,POST,/cluster-variables/tenants/{tenantId},bad-request:missing-required,field=name,yes,
createTenantClusterVariable,POST,/cluster-variables/tenants/{tenantId},bad-request:missing-required,field=value,yes,
createTenantClusterVariable,POST,/cluster-variables/tenants/{tenantId},bad-request:type-mismatch,"field=value, type=object",yes,
createTenantClusterVariable,POST,/cluster-variables/tenants/{tenantId},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
createTenantClusterVariable,POST,/cluster-variables/tenants/{tenantId},prerequisite-resource,1 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
createTenantClusterVariable,POST,/cluster-variables/tenants/{tenantId},documented-500,response code 500 documented in spec,yes,
getTenantClusterVariable,GET,/cluster-variables/tenants/{tenantId}/{name},happy-path,documented success response,yes,
getTenantClusterVariable,GET,/cluster-variables/tenants/{tenantId}/{name},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
getTenantClusterVariable,GET,/cluster-variables/tenants/{tenantId}/{name},404-not-found,"path param=tenantId, type=string, format=TenantId",yes,
getTenantClusterVariable,GET,/cluster-variables/tenants/{tenantId}/{name},404-not-found,"path param=name, type=string, format=ClusterVariableName",yes,
getTenantClusterVariable,GET,/cluster-variables/tenants/{tenantId}/{name},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
getTenantClusterVariable,GET,/cluster-variables/tenants/{tenantId}/{name},prerequisite-resource,2 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
getTenantClusterVariable,GET,/cluster-variables/tenants/{tenantId}/{name},documented-500,response code 500 documented in spec,yes,
updateTenantClusterVariable,PUT,/cluster-variables/tenants/{tenantId}/{name},happy-path,documented success response,yes,
updateTenantClusterVariable,PUT,/cluster-variables/tenants/{tenantId}/{name},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
updateTenantClusterVariable,PUT,/cluster-variables/tenants/{tenantId}/{name},404-not-found,"path param=tenantId, type=string, format=TenantId",yes,
updateTenantClusterVariable,PUT,/cluster-variables/tenants/{tenantId}/{name},404-not-found,"path param=name, type=string, format=ClusterVariableName",yes,
updateTenantClusterVariable,PUT,/cluster-variables/tenants/{tenantId}/{name},bad-request:missing-required,field=value,yes,
updateTenantClusterVariable,PUT,/cluster-variables/tenants/{tenantId}/{name},bad-request:type-mismatch,"field=value, type=object",yes,
updateTenantClusterVariable,PUT,/cluster-variables/tenants/{tenantId}/{name},409-conflict,create-or-replace with same identifier,no,duplicatePolicy per endpoint (idempotent | conflict | replace)
updateTenantClusterVariable,PUT,/cluster-variables/tenants/{tenantId}/{name},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
updateTenantClusterVariable,PUT,/cluster-variables/tenants/{tenantId}/{name},prerequisite-resource,2 path param(s) imply a referenced resource,no,creation chain per identifier semantic-type
updateTenantClusterVariable,PUT,/cluster-variables/tenants/{tenantId}/{name},documented-500,response code 500 documented in spec,yes,
deleteTenantClusterVariable,DELETE,/cluster-variables/tenants/{tenantId}/{name},happy-path,documented success response,yes,
deleteTenantClusterVariable,DELETE,/cluster-variables/tenants/{tenantId}/{name},401-unauthorized,spec declares securitySchemes but does not apply them,no,"spec-gap: which endpoints actually require auth (currently encoded only in deployment, not the spec)"
deleteTenantClusterVariable,DELETE,/cluster-variables/tenants/{tenantId}/{name},404-not-found,"path param=tenantId, type=string, format=TenantId",yes,
deleteTenantClusterVariable,DELETE,/cluster-variables/tenants/{tenantId}/{name},404-not-found,"path param=name, type=string, format=ClusterVariableName",yes,
deleteTenantClusterVariable,DELETE,/cluster-variables/tenants/{tenantId}/{name},403-forbidden,403 documented in spec,no,RBAC: permissions required per endpoint
